,serial_number,qc_stage,scan_num,scan_tags,analysis_tags,analysis_value
153,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_2_x,19.8535625
154,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_2_y,10.708775000000001
155,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_3_x,19.8551225
156,20UPGPQ2601138,PCB_POPULATION,001,FlexR,FlexR_3_y,18.708775
157,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_0_x,18.491225
158,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_0_y,20.388335
159,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_1_x,10.820475
160,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_1_y,20.383655
161,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_2_x,-10.808775
162,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_2_y,20.3769275
163,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_3_x,-18.308775
164,20UPGPQ2601138,PCB_POPULATION,001,FlexT,FlexT_3_y,20.380535000000002
165,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_0_x,-18.408775000000002
166,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_0_y,-19.9684175
167,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_1_x,-10.508775
168,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_1_y,-19.965785
169,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_2_x,10.510725
170,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_2_y,-19.9635425
171,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_3_x,17.996225
172,20UPGPQ2601138,PCB_POPULATION,001,FlexB,FlexB_3_y,-19.963347499999998
173,20UPGPQ2601138,PCB_POPULATION,001,HoleTL,HoleTL_x,-27.028544920881927
174,20UPGPQ2601138,PCB_POPULATION,001,HoleTL,HoleTL_y,27.165367722060175
175,20UPGPQ2601138,PCB_POPULATION,001,HoleTL,HoleTL_r,1.5317857966093982
176,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,SlotBR_x,27.05651773619966
177,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,SlotBR_y,-26.77421969904204
178,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,SlotBR_r,1.5340000000000003
179,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,SlotBR_alpha,-0.7853981633974483
180,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,FlexL_line,19.72092477036008
181,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,FlexR_line,-19.848797381375597
182,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,FlexT_line,-20.382351583636783
183,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,FlexB_line,19.965259636742413
184,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,FlexX,39.56971733055043
185,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,FlexY,40.34761087205661
186,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,HoleTL_diameter,3.0635715932187964
187,20UPGPQ2601138,PCB_POPULATION,001,SlotBR,SlotBR_width,3.0680000000000005
188,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_0_x,-19.67979
189,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_0_y,19.379525
190,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_1_x,-19.6779375
191,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_1_y,5.333025
192,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_2_x,-19.69812
193,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_2_y,-9.991225
194,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_3_x,-19.708065
195,20UPGPQ2601163,PCB_POPULATION,001,FlexL,FlexL_3_y,-18.591225
196,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_0_x,19.8498575
197,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_0_y,-18.591225
198,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_1_x,19.852685
199,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_1_y,-10.691225000000001
200,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_2_x,19.862825
201,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_2_y,10.708775000000001
202,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_3_x,19.8687725
203,20UPGPQ2601163,PCB_POPULATION,001,FlexR,FlexR_3_y,18.708775
204,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_0_x,18.491225
205,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_0_y,20.3864825
206,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_1_x,10.898475000000001
207,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_1_y,20.466920000000002
208,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_2_x,-10.847775
209,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_2_y,20.39438
210,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_3_x,-18.386775
211,20UPGPQ2601163,PCB_POPULATION,001,FlexT,FlexT_3_y,20.4679925
212,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_0_x,-18.408775000000002
213,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_0_y,-19.971732499999998
214,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_1_x,-10.508775
215,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_1_y,-19.9711475
216,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_2_x,10.500975
217,20UPGPQ2601163,PCB_POPULATION,001,FlexB,FlexB_2_y,-19.9732925
