,serial_number,x,y,z,tags,imagePath
39,20UPGM22101021,18.0,21.0,8.187396000000001,SensorT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8892.jpg
40,20UPGM22101021,-19.400000000000002,-18.400000000000002,8.408196000000004,FlexL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8893.jpg
41,20UPGM22101021,-19.400000000000002,-5.1000000000000005,8.416996,FlexL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8894.jpg
42,20UPGM22101021,-19.400000000000002,9.9,8.425696000000004,FlexL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8895.jpg
43,20UPGM22101021,-19.400000000000002,18.7,8.428196000000003,FlexL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8896.jpg
44,20UPGM22101021,-18.5,20.8,8.414496,FlexT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8897.jpg
45,20UPGM22101021,-10.5,20.8,8.430696000000003,FlexT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8898.jpg
46,20UPGM22101021,10.5,20.8,8.441896000000002,FlexT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8899.jpg
47,20UPGM22101021,18.5,20.8,8.430696000000003,FlexT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8900.jpg
48,20UPGM22101021,19.5,18.7,8.434496,FlexR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8901.jpg
49,20UPGM22101021,19.5,10.700000000000001,8.435696000000004,FlexR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8902.jpg
50,20UPGM22101021,19.5,-10.700000000000001,8.426995999999999,FlexR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8903.jpg
51,20UPGM22101021,19.5,-18.7,8.424496,FlexR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8904.jpg
52,20UPGM22101021,18.0,-19.44,8.176396,FlexB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8905.jpg
53,20UPGM22101021,10.0,-19.44,8.205095999999998,FlexB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8906.jpg
54,20UPGM22101021,-10.0,-19.44,8.424796000000002,FlexB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8907.jpg
55,20UPGM22101021,-18.0,-19.44,8.402296000000002,FlexB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8908.jpg
0,20UPGM22601021,22.0,20.2,7.851595999999998,Jig,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8910.jpg
1,20UPGM22601021,22.0,-20.2,7.907796000000002,JJig,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8911.jpg
2,20UPGM22601021,-22.0,-20.2,7.840296000000002,Jig,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8912.jpg
3,20UPGM22601021,-22.0,20.2,7.840896000000001,Jig,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8913.jpg
4,20UPGM22601021,-5.7,7.8,8.423696000000003,Pickup1,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8914.jpg
5,20UPGM22601021,-10.4,-11.200000000000001,8.403996,Pickup2,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8915.jpg
6,20UPGM22601021,9.9,-8.8,8.420896,Pickup3,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8916.jpg
7,20UPGM22601021,10.0,9.700000000000001,8.428396000000001,Pickup4,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8917.jpg
8,20UPGM22601021,18.900000000000002,19.900000000000002,8.434595999999997,FmarkTR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8918.jpg
9,20UPGM22601021,18.900000000000002,-18.7,8.417496,FmarkBR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8919.jpg
10,20UPGM22601021,-18.7,-18.7,8.394696000000003,FmarkBL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8920.jpg
11,20UPGM22601021,-18.7,19.900000000000002,8.414595999999998,FmarkTL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8921.jpg
12,20UPGM22601021,20.8,20.8,8.013995999999999,AsicFmarkTR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8922.jpg
13,20UPGM22601021,20.8,-19.400000000000002,8.013995999999999,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8923.jpg
14,20UPGM22601021,-20.900000000000002,-19.5,7.997796000000002,AsicFmarkBL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8924.jpg
15,20UPGM22601021,-20.900000000000002,20.8,8.000296000000002,AsicFmarkTL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8925.jpg
16,20UPGM22601021,-10.200000000000001,-18.2,10.110496,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8926.jpg
17,20UPGM22601021,-9.6,-18.2,10.110396000000001,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8927.jpg
18,20UPGM22601021,-9.200000000000001,-18.2,10.110396000000001,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8928.jpg
19,20UPGM22601021,-8.6,-18.2,10.116595999999998,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8929.jpg
20,20UPGM22601021,-8.0,-18.2,10.172796000000002,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8930.jpg
21,20UPGM22601021,-3.0,-15.5,9.734696000000003,Connector,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8931.jpg
22,20UPGM22601021,-0.0,-15.5,9.753396,Connector,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8932.jpg
23,20UPGM22601021,3.0,-15.5,9.758396000000001,Connector,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8933.jpg
24,20UPGM22601021,20.8,19.5,8.015095999999998,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8934.jpg
25,20UPGM22601021,20.8,5.1000000000000005,8.012796000000002,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8935.jpg
26,20UPGM22601021,20.8,-9.9,8.013595999999998,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8936.jpg
27,20UPGM22601021,20.8,-18.6,8.013995999999999,AsicR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8937.jpg
28,20UPGM22601021,18.0,-19.7,8.174696000000004,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8938.jpg
29,20UPGM22601021,11.1,-19.7,8.173196000000004,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8939.jpg
30,20UPGM22601021,-8.9,-19.7,8.167095999999997,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8940.jpg
31,20UPGM22601021,-18.3,-19.7,8.163996,SensorB,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8941.jpg
32,20UPGM22601021,-20.8,-18.7,7.999696000000004,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8942.jpg
33,20UPGM22601021,-20.8,-10.0,8.000496,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8943.jpg
34,20UPGM22601021,-20.8,10.0,7.999196000000004,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8944.jpg
35,20UPGM22601021,-20.8,19.5,8.000496,AsicL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8945.jpg
36,20UPGM22601021,-18.0,21.0,8.162696000000004,SensorT,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8946.jpg
