,serial_number,qc_stage,scan_num,tags,valueType,values
268,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_x,19.7641275
269,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,detect_y,-18.544975
270,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkTL,detect_x,-18.855999999999998
271,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkTL,detect_y,19.9585
272,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkBL,detect_x,-18.7975
273,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkBL,detect_y,-18.58885
274,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkBR,detect_x,18.7635
275,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkBR,detect_y,-18.5362
276,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkTR,detect_x,18.716700000000003
277,20UPGM22601027,MODULE_ASSEMBLY,001,FmarkTR,detect_y,20.017000000000003
278,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkTL,detect_x,-21.0833
279,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkTL,detect_y,20.6323
280,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkBL,detect_x,-20.978
281,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkBL,detect_y,-19.4532
282,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkBR,detect_x,21.006700000000002
283,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkBR,detect_y,-19.333700000000004
284,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkTR,detect_x,20.92285
285,20UPGM22601027,MODULE_ASSEMBLY,001,AsicFmarkTR,detect_y,20.741500000000002
286,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,line_p0,21.11583596067192
287,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,line_p1,1.0
288,20UPGM22601027,MODULE_ASSEMBLY,001,AsicL,line_p2,0.0029752627273533726
289,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,line_p0,-21.063631871279757
290,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,line_p1,1.0
291,20UPGM22601027,MODULE_ASSEMBLY,001,AsicR,line_p2,0.00208128050243833
292,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,line_p0,-21.210397560481802
293,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,line_p1,-0.00243238517798579
294,20UPGM22601027,MODULE_ASSEMBLY,001,SensorT,line_p2,1.0
295,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,line_p0,19.878751323125915
296,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,line_p1,-0.0024894090917512114
297,20UPGM22601027,MODULE_ASSEMBLY,001,SensorB,line_p2,1.0
298,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,line_p0,19.822759594464323
299,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,line_p1,1.0
300,20UPGM22601027,MODULE_ASSEMBLY,001,FlexL,line_p2,0.0010256123819837191
301,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,line_p0,-19.735623126499696
302,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,line_p1,1.0
303,20UPGM22601027,MODULE_ASSEMBLY,001,FlexR,line_p2,0.0013923683417772247
304,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,line_p0,-20.87414626444779
305,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,line_p1,-0.0014080817278749474
306,20UPGM22601027,MODULE_ASSEMBLY,001,FlexT,line_p2,1.0
307,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,line_p0,19.4664233400094
308,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,line_p1,-0.0010290775266926892
309,20UPGM22601027,MODULE_ASSEMBLY,001,FlexB,line_p2,1.0
310,20UPGM22601029,MODULE_ASSEMBLY,002,AsicL,detect_x,-21.02815
311,20UPGM22601029,MODULE_ASSEMBLY,002,AsicL,detect_y,-18.622
312,20UPGM22601029,MODULE_ASSEMBLY,002,AsicL,detect_x,-21.0925
313,20UPGM22601029,MODULE_ASSEMBLY,002,AsicL,detect_y,-9.8752
