,serial_number,qc_stage,scan_num,tags,detect_x,detect_y
137,20UPGM22110427,MODULE_ASSEMBLY,004,FlexT,-10.508775,20.91037
138,20UPGM22110427,MODULE_ASSEMBLY,004,FlexT,10.491225,20.9073475
139,20UPGM22110427,MODULE_ASSEMBLY,004,FlexT,18.383975,20.87683
140,20UPGM22110427,MODULE_ASSEMBLY,004,FlexB,17.991225,-19.584592500000003
141,20UPGM22110427,MODULE_ASSEMBLY,004,FlexB,9.991225,-19.58118
142,20UPGM22110427,MODULE_ASSEMBLY,004,FlexB,-10.008775,-19.584592500000003
143,20UPGM22110427,MODULE_ASSEMBLY,004,FlexB,-18.008775,-19.5869325
144,20UPGM22110427,MODULE_ASSEMBLY,004,FlexL,-19.799457500000003,-18.391225000000002
145,20UPGM22110427,MODULE_ASSEMBLY,004,FlexL,-19.806867500000003,-5.0912250000000006
146,20UPGM22110427,MODULE_ASSEMBLY,004,FlexL,-19.805795000000003,9.908775
147,20UPGM22110427,MODULE_ASSEMBLY,004,FlexL,-19.780640000000002,19.011025
148,20UPGM22110427,MODULE_ASSEMBLY,004,FlexR,19.6268475,18.933025
149,20UPGM22110427,MODULE_ASSEMBLY,004,FlexR,19.679595,10.708775000000001
150,20UPGM22110427,MODULE_ASSEMBLY,004,FlexR,19.6284075,-10.593725000000001
151,20UPGM22110427,MODULE_ASSEMBLY,004,FlexR,19.6777425,-18.603475
152,20UPGM22110427,MODULE_ASSEMBLY,004,FmarkTL,-18.8443,19.972150000000003
153,20UPGM22110427,MODULE_ASSEMBLY,004,FmarkBL,-18.8365,-18.6415
154,20UPGM22110427,MODULE_ASSEMBLY,004,FmarkBR,18.744000000000003,-18.62785
155,20UPGM22110427,MODULE_ASSEMBLY,004,FmarkTR,18.744000000000003,19.972150000000003
156,20UPGM22110427,MODULE_ASSEMBLY,004,AsicFmarkTL,-21.03065,20.722
157,20UPGM22110427,MODULE_ASSEMBLY,004,AsicFmarkBL,-21.017000000000003,-19.3635
158,20UPGM22110427,MODULE_ASSEMBLY,004,AsicFmarkBR,20.9872,-19.32785
159,20UPGM22110427,MODULE_ASSEMBLY,004,AsicFmarkTR,20.9677,20.75515
160,20UPGM22101021,MODULE_ASSEMBLY,001,AsicL,-21.0925,-18.731199999999998
161,20UPGM22101021,MODULE_ASSEMBLY,001,AsicL,-21.094645,-10.049725
162,20UPGM22101021,MODULE_ASSEMBLY,001,AsicL,-21.1198,10.0585
163,20UPGM22101021,MODULE_ASSEMBLY,001,AsicL,-21.14515,19.47465
164,20UPGM22101021,MODULE_ASSEMBLY,001,AsicR,21.0652,19.4298
165,20UPGM22101021,MODULE_ASSEMBLY,001,AsicR,21.0925,5.094150000000001
166,20UPGM22101021,MODULE_ASSEMBLY,001,AsicR,21.061885,-9.920475
167,20UPGM22101021,MODULE_ASSEMBLY,001,AsicR,21.104200000000002,-18.6312
168,20UPGM22101021,MODULE_ASSEMBLY,001,SensorT,-17.726025,21.167115
169,20UPGM22101021,MODULE_ASSEMBLY,001,SensorT,-10.108775,21.1824225
170,20UPGM22101021,MODULE_ASSEMBLY,001,SensorT,9.640225,21.20826
171,20UPGM22101021,MODULE_ASSEMBLY,001,SensorT,17.79135,21.2145
